type,question,answer,frequently_answer,,,
9天后是否收费,学完/上完9天课之后要钱么？,这9天是免费的，我们后面有收费的课，你可以根据你自己的情况，决定要不要报名学习，你自己决定，现在是免费课，先听免费的，之后的课你自己再决定就好,1,,,
9天后是否收费,九天后再上课是不是就要钱了，对吧,这9天是免费的，我们后面有收费的课，你可以根据你自己的情况，决定要不要报名学习，你自己决定，现在是免费课，先听免费的，之后的课你自己再决定就好,1,,,
9天后是否收费,后面是不是要交两千多块去啊,这9天是免费的，我们后面有收费的课，你可以根据你自己的情况，决定要不要报名学习，你自己决定，现在是免费课，先听免费的，之后的课你自己再决定就好,1,,,
9天后是否收费,那9天后就要收费是吗？,这9天是免费的，我们后面有收费的课，你可以根据你自己的情况，决定要不要报名学习，你自己决定，现在是免费课，先听免费的，之后的课你自己再决定就好,1,,,
9天后是否收费,后期是不是收费,这9天是免费的，我们后面有收费的课，你可以根据你自己的情况，决定要不要报名学习，你自己决定，现在是免费课，先听免费的，之后的课你自己再决定就好,1,,,
9天后是否收费,免学费一期，那第二期是要钱吗,这9天是免费的，我们后面有收费的课，你可以根据你自己的情况，决定要不要报名学习，你自己决定，现在是免费课，先听免费的，之后的课你自己再决定就好,1,,,
不识字,认识字少的很,我们是通过线上课来学习，有很多文字分享内容，您如果识字不多学习上可能比较吃力，您可以根据自己情况决定是否学习,0,,,
不识字,我不认识字,我们是通过线上课来学习，有很多文字分享内容，您如果识字不多学习上可能比较吃力，您可以根据自己情况决定是否学习,0,,,
不识字,我不识字能学吗,我们是通过线上课来学习，有很多文字分享内容，您如果识字不多学习上可能比较吃力，您可以根据自己情况决定是否学习,0,,,
电话信息,你们是怎么知道我的电话的？,同学，老师不知道你的电话哈，是你这边自己报名以后，我们系统显示你报名成功的，我这边只能看到你的微信名字看不到具体电话,0,,,
电话信息,你们怎么得到我的信息的？,同学，老师不知道你的电话哈，是你这边自己报名以后，我们系统显示你报名成功的，我这边只能看到你的微信名字看不到具体电话,0,,,
电脑上课,要用到电脑吗,不用的哈,0,,,
